input_file,lua_result,lua_jit_result,gopher_lua_result,lua2c_result
"./minimized-corpus/id:002001,src:001726+001960,time:486903,execs:356680,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002002,src:000861+001672,time:641321,execs:534328,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002008,src:000861+001657,time:643067,execs:535434,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002015,src:000810+000940,time:473574,execs:394793,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002033,src:001887+001734,time:414747,execs:347868,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002054,src:001841+000824,time:490688,execs:376389,op:libgrammarmutator-lua,pos:0,+cov",0,1,1,1
"./minimized-corpus/id:002060,src:001841+000772,time:490862,execs:376657,op:libgrammarmutator-lua,pos:0,+cov",0,0,0,1
"./minimized-corpus/id:002065,src:001841+002043,time:494055,execs:378949,op:libgrammarmutator-lua,pos:0,+cov",0,0,0,1
"./minimized-corpus/id:002088,src:001892+001191,time:510277,execs:427221,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002095,src:001977+001079,time:520696,execs:432437,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002108,src:002050+001499,time:428679,execs:357277,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002112,src:002050+000872,time:428884,execs:357605,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002130,src:000911+001622,time:537818,execs:414615,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002136,src:002009+001536,time:562920,execs:417020,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002145,src:002095+001143,time:543525,execs:454354,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002181,src:001241+001585,time:853104,execs:689878,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002183,src:001486+002054,time:484663,execs:386450,op:libgrammarmutator-lua,pos:0,+cov",0,0,0,1
"./minimized-corpus/id:002189,src:001486+000277,time:490069,execs:389776,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002211,src:002165+000546,time:592937,execs:445056,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002246,sync:fuzzer7,src:001241,+cov",0,0,0,1
"./minimized-corpus/id:002252,src:002055+000596,time:612171,execs:469434,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002273,sync:fuzzer7,src:001333",0,0,0,1
"./minimized-corpus/id:002276,src:002065+000886,time:630974,execs:485072,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002282,src:002065+000077,time:632122,execs:486494,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002297,src:002158+002216,time:651405,execs:503071,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002304,src:002244+001089,time:657233,execs:508945,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:002312,src:002170+000640,time:598993,execs:475837,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002312,sync:fuzzer7,src:001515,+cov",0,0,0,1
"./minimized-corpus/id:002326,sync:fuzzer7,src:001529",0,0,0,1
"./minimized-corpus/id:002358,src:001796+000052,time:704401,execs:523033,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:002394,src:002071+002079,time:731297,execs:569260,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002409,src:000549+002265,time:605937,execs:508643,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002416,src:002303+002001,time:642549,execs:511510,op:libgrammarmutator-lua,pos:0,+cov",1,1,0,1
"./minimized-corpus/id:002419,src:002303+000120,time:644344,execs:513570,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002426,sync:fuzzer7,src:001798",0,0,0,1
"./minimized-corpus/id:002428,sync:fuzzer7,src:001801",0,0,0,1
"./minimized-corpus/id:002431,sync:fuzzer7,src:001804",0,0,0,1
"./minimized-corpus/id:002432,src:002167+001875,time:760041,execs:589973,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002437,sync:fuzzer7,src:001810",0,0,0,1
"./minimized-corpus/id:002438,sync:fuzzer7,src:001812,+cov",0,0,0,1
"./minimized-corpus/id:002462,src:002417+001054,time:698617,execs:556869,op:libgrammarmutator-lua,pos:0,+cov",0,0,0,1
"./minimized-corpus/id:002463,src:002417+001386,time:698631,execs:556889,op:libgrammarmutator-lua,pos:0,+cov",0,0,0,1
"./minimized-corpus/id:002467,src:002417+000219,time:698742,execs:557043,op:libgrammarmutator-lua,pos:0,+cov",0,0,0,1
"./minimized-corpus/id:002469,src:002272+002123,time:828961,execs:643707,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002494,src:002437+001042,time:854116,execs:697074,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002504,src:000990+000908,time:858330,execs:669900,op:libgrammarmutator-lua,pos:0,+cov",0,0,0,1
"./minimized-corpus/id:002506,src:002437+002167,time:856238,execs:699127,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:002524,src:002509+002504,time:860501,execs:702627,op:libgrammarmutator-lua,pos:0,+cov",0,0,0,1
"./minimized-corpus/id:002529,src:002509+001326,time:860945,execs:702776,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002530,src:002509+002429,time:860958,execs:702789,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002534,src:002509+001556,time:861640,execs:703175,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002535,src:002509+002242,time:861683,execs:703218,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002538,src:002341+001113,time:917475,execs:671154,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002540,src:002341+002482,time:917820,execs:671304,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002540,sync:fuzzer7,src:002031",0,0,0,1
"./minimized-corpus/id:002544,src:002386+002499,time:868333,execs:709154,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002547,src:002473+001561,time:817869,execs:647939,op:libgrammarmutator-lua,pos:0,+cov",1,1,0,1
"./minimized-corpus/id:002547,src:002535+001415,time:920698,execs:717128,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002551,src:002516+000955,time:876730,execs:715612,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002552,src:002535+001799,time:921929,execs:718325,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002557,src:001848+000295,time:947811,execs:689873,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:002558,src:001848+000341,time:947821,execs:689890,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:002560,src:001848+000105,time:948112,execs:690237,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:002566,sync:fuzzer7,src:002085",0,0,0,1
"./minimized-corpus/id:002568,src:002516+001860,time:880608,execs:718833,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002570,src:002516+002039,time:880692,execs:718914,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002573,src:002516+000599,time:880791,execs:718999,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002586,src:001065+002131,time:1077633,execs:822026,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002588,src:002516+000735,time:881502,execs:719585,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002589,src:000905+001406,time:968025,execs:709385,op:libgrammarmutator-lua,pos:0",1,1,1,0
"./minimized-corpus/id:002590,src:001911+000016,time:706707,execs:588784,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002593,src:001911+000644,time:706789,execs:588848,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002594,src:000905+001126,time:968278,execs:709577,op:libgrammarmutator-lua,pos:0",1,1,1,0
"./minimized-corpus/id:002601,src:002554+001136,time:888686,execs:725642,op:libgrammarmutator-lua,pos:0",1,1,0,1
"./minimized-corpus/id:002616,src:000518+000907,time:1061144,execs:766996,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002617,src:002518+002299,time:900060,execs:734268,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002618,src:002199+001147,time:1012268,execs:788866,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002621,src:002199+000486,time:1012461,execs:789046,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002621,src:002518+001015,time:900952,execs:735311,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002624,src:000518+000824,time:1061235,execs:767073,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002625,src:000518+001224,time:1061254,execs:767082,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002625,src:002174+000982,time:749270,execs:621600,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002626,src:002174+000098,time:749457,execs:621869,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002627,src:000518+000497,time:1061289,execs:767103,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002628,src:002518+001451,time:902650,execs:736920,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002633,sync:fuzzer7,src:002206",0,0,0,1
"./minimized-corpus/id:002634,src:002199+001299,time:1014323,execs:790637,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002637,src:002199+000060,time:1014721,execs:790872,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002638,src:002603+002513,time:1064197,execs:769571,op:libgrammarmutator-lua,pos:0",1,1,1,0
"./minimized-corpus/id:002647,src:002507+000036,time:931773,execs:756424,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:002648,src:002507+001203,time:931781,execs:756436,op:libgrammarmutator-lua,pos:0,+cov",0,0,1,1
"./minimized-corpus/id:002661,src:002618+002612,time:1083851,execs:785947,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002677,sync:fuzzer7,src:002280",0,0,0,1
"./minimized-corpus/id:002679,src:002595+000110,time:953578,execs:772712,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002683,sync:fuzzer7,src:002287,+cov",0,0,0,1
"./minimized-corpus/id:002691,src:002595+000848,time:956646,execs:775776,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002692,src:002595+001906,time:956663,execs:775794,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002693,src:002595+002248,time:956781,execs:775904,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002701,src:002595+000481,time:957861,execs:776416,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002718,sync:fuzzer7,src:002330",0,0,0,1
"./minimized-corpus/id:002728,src:002511+001881,time:998990,execs:809545,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002729,src:002511+002462,time:999011,execs:809577,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:002738,src:001362+000056,time:1379168,execs:1022234,op:libgrammarmutator-lua,pos:0,+cov",1,1,0,1
"./minimized-corpus/id:002744,src:002560+000417,time:919463,execs:728829,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002759,src:002459+000938,time:1143136,execs:883178,op:libgrammarmutator-lua,pos:0",0,0,1,0
"./minimized-corpus/id:002760,src:002459+001558,time:1143598,execs:883373,op:libgrammarmutator-lua,pos:0",0,0,1,0
"./minimized-corpus/id:002761,src:002459+001776,time:1143981,execs:883781,op:libgrammarmutator-lua,pos:0",0,0,1,0
